Component,References,Value,Quantity Per PCB,Footprint,Digi-Key PN,Digi-Key Link,Datasheet
1,C209 C210 C211 C212 C403 C701 C702 C703 C705 C706 C707 C708,0.1uF,12,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1276-1006-1-ND,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B104KA8NNNC/3886664,~
2,C107 C108 C201 C202 C203 C204 C205 C206 C207 C208 C301 C401 C402 C501,1uF,14,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,1276-6524-1-ND,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10B105MO8NNWC/5961008,~
3,C101 C102 C104 C105 C704,4.7uF,5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1276-6462-1-ND,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A475KAQNNNG/3894439,~
4,C103 C106,22uF,2,CP_Elec_5x5.3,732-8505-1-ND,https://www.digikey.com/en/products/detail/würth-elektronik/865080542006/5728100,~
5,D301 D302 D501 D601 D602 D603 D604 D701 D702,1N4007,9,D_SOD-123,1655-1N4007FLCT-ND,https://www.digikey.com/en/products/detail/smc-diode-solutions/1N4007FLTR/11657817,http://www.smc-diodes.com/propdf/1N4001FL-1N4007FL%20N1646%20REV.A.pdf
6,D401,DF2B7AFU,1,D_SOD-323_HandSoldering,DF2B7AFUH3FCT-ND,https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/DF2B7AFUH3F/10259959,https://toshiba.semicon-storage.com/info/docget.jsp?did=55588&prodName=DF2B7AFU
7,D101,Pink,1,LED_Kingbright_AA3528V_3.5x2.8mm_handsolder,754-1534-1-ND,https://www.digikey.com/en/products/detail/kingbright/AA3528VRVCS-A/2440555,https://www.kingbrightusa.com/images/catalog/SPEC/AA3528VRVCS-A.pdf
8,DS701,LCD-Generic_3.2in_SPI_SD,1,LCD-Generic-3.2in_89.30x55.04mm_ReducedCourtyard,SAM1093-04-ND; SAM1093-14-ND,https://www.digikey.com/en/products/detail/samtec-inc/SLW-104-01-T-S/1104832 ; https://www.digikey.com/en/products/detail/samtec-inc/SLW-114-01-T-S/1104822,"https://www.aliexpress.com/item/4001122632293.html?spm=a2g0o.productlist.0.0.626763a37DWpAR&algo_pvid=075ffa5b-9e24-45ec-b277-c66fde4fd636&algo_expid=075ffa5b-9e24-45ec-b277-c66fde4fd636-8&btsid=0be3746c15983696518323585e6542&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_"
9,F601,2.0A,1,Fuseholder_Littelfuse_Nano2_154x,F1224TR-ND,https://www.digikey.com/en/products/detail/littelfuse-inc/0154002-DR/183354,https://www.littelfuse.com/~/media/electronics/datasheets/fuses/littelfuse_fuse_154_154t_154l_154tl_datasheet.pdf.pdf
10,J702,AudioJack3,1,Jack_3.5mm_CUI_SJ1-3523N_Horizontal,CP1-3523N-ND,https://www.digikey.com/en/products/detail/cui-devices/SJ1-3523N/738689,~
